variant,concurrency,threads,lat_avg_ms,lat_stdev_ms,lat_max_ms,lat_pm_stdev_pct,reqps_thread_avg,reqps_thread_stdev,reqps_thread_max,reqps_thread_pm_stdev_pct,requests_per_sec
baseline,38,5,1.350,0.541670,4.240,65.17,4350.000000,900.000000,5980.000000,57.37,21304.13
baseline,39,5,1.670,0.599000,5.640,66.02,3610.000000,720.36,5680.000000,72.40,17950.58
baseline,40,5,1.670,0.657800,4.750,61.86,4100.000000,930.000000,6470.000000,69.60,20373.56
baseline,41,6,1.440,0.580350,4.860,63.27,3510.000000,696.39,5340.000000,63.70,20748.75
baseline,42,6,1.370,0.592580,4.700,68.65,4220.000000,850.000000,6410.000000,67.44,24804.21
baseline,43,6,1.700,0.707910,6.360,64.48,3420.000000,722.78,5210.000000,63.33,20428.83
baseline,44,6,1.250,0.548800,4.770,71.79,4740.000000,940.000000,7040.000000,68.54,27960.36
baseline,45,6,1.230,0.558530,5.190,72.39,4740.000000,1000.000000,9240.000000,67.66,28000.17
baseline,46,6,1.240,0.548550,4.670,71.50,4800.000000,940.000000,8070.000000,72.94,28357.66
baseline,47,6,2.150,0.783110,6.740,66.06,2610.000000,507.01,4680.000000,76.33,15581.21
baseline,48,6,1.470,0.632510,5.340,69.03,4580.000000,828.62,6410.000000,63.70,27102.24
baseline,49,7,1.500,0.664270,5.370,69.38,3920.000000,799.99,7410.000000,66.38,26831.82
baseline,50,7,1.400,0.601020,5.770,70.30,4290.000000,776.13,6400.000000,73.52,29702.45
baseline,51,7,1.850,0.806170,5.830,64.29,3130.000000,761.95,7390.000000,60.97,21451.65
baseline,52,7,1.400,0.598470,5.300,70.08,4310.000000,794.49,7450.000000,77.75,29867.52
baseline,53,7,1.420,0.589630,5.320,69.82,4300.000000,755.94,7030.000000,76.34,29820.07
baseline,54,7,1.430,0.594490,5.040,69.88,4270.000000,732.85,5790.000000,77.25,29669.23
baseline,55,7,1.410,0.599080,5.030,70.13,4330.000000,832.99,7900.000000,75.14,29900.39
baseline,56,7,1.590,0.641930,6.090,68.33,4460.000000,774.83,8070.000000,80.79,30791.83
baseline,57,8,1.610,0.650570,5.930,68.19,3880.000000,679.87,7670.000000,83.91,30585.95
baseline,58,8,1.620,0.646940,5.570,67.39,3860.000000,616.61,5530.000000,80.05,30584.31
baseline,59,8,1.600,0.643150,5.930,68.60,3890.000000,648.21,7260.000000,81.48,30719.55
baseline,60,8,1.590,0.640110,6.110,68.52,3930.000000,675.94,7540.000000,81.44,30958.19
baseline,61,8,1.600,0.660280,6.210,68.58,3880.000000,717.34,9870.000000,83.08,30420.53
baseline,62,8,1.610,0.659520,5.740,68.69,3870.000000,687.70,6780.000000,80.45,30496.64
baseline,63,8,1.590,0.641180,5.710,68.21,3890.000000,622.37,5900.000000,80.05,30804.52
baseline,64,8,1.800,0.708140,6.680,66.79,3970.000000,623.51,6250.000000,80.49,31381.97
