variant,concurrency,threads,lat_avg_ms,lat_stdev_ms,lat_max_ms,lat_pm_stdev_pct,reqps_thread_avg,reqps_thread_stdev,reqps_thread_max,reqps_thread_pm_stdev_pct,requests_per_sec
baseline,1,1,0.575570,0.099840,5.130,97.02,1380.000000,40.31,1550.000000,86.27,1368.66
baseline,2,1,0.512540,0.058960,0.778000,68.32,3140.000000,167.10,3390.000000,60.78,3121.87
baseline,3,1,0.520950,0.069090,0.860,70.22,4650.000000,219.09,5150.000000,66.00,4630.25
baseline,4,1,0.551350,0.082610,0.940,69.53,5790.000000,222.33,6510.000000,66.67,5757.22
baseline,5,1,0.626490,0.087800,1.520,67.98,6280.000000,237.06,7270.000000,78.00,6239.31
baseline,6,1,0.702480,0.100570,1.300,67.93,6720.000000,393.57,8130.000000,74.00,6687.19
baseline,7,1,0.762530,0.106680,1.270,68.56,7130.000000,164.74,7440.000000,82.35,7090.41
baseline,8,1,0.846210,0.117800,1.320,68.87,7310.000000,198.42,7690.000000,74.00,7274.40
baseline,9,2,0.699710,0.149250,1.290,66.80,4670.000000,327.12,5580.000000,72.55,9291.84
baseline,10,2,0.792690,0.174030,1.360,66.86,5200.000000,482.33,6780.000000,80.20,10246.14
baseline,11,2,0.810940,0.175740,1.500,66.62,5060.000000,422.25,6280.000000,78.22,9963.52
baseline,12,2,0.880,0.201710,1.620,67.57,5560.000000,501.08,7180.000000,76.24,10971.12
baseline,13,2,0.900,0.195270,1.810,68.77,5480.000000,396.68,6860.000000,78.43,10896.93
baseline,14,2,1.000,0.213350,1.820,71.21,5780.000000,351.73,7050.000000,77.45,11505.95
baseline,15,2,0.970,0.225660,1.820,68.95,5890.000000,534.91,7620.000000,80.20,11593.34
baseline,16,2,1.060,0.256330,2.140,68.86,6190.000000,526.87,7780.000000,74.26,12206.45
baseline,17,3,1.000,0.226320,2.020,70.30,4290.000000,285.74,6080.000000,73.51,12630.68
baseline,18,3,1.150,0.258860,2.210,71.16,4530.000000,285.56,6920.000000,84.11,13364.52
baseline,19,3,1.160,0.252240,4.460,71.75,4490.000000,203.21,5480.000000,74.67,13402.34
baseline,20,3,1.160,0.253750,2.280,71.07,4450.000000,246.21,5090.000000,70.00,13280.52
baseline,21,3,1.310,0.277850,2.790,70.85,4680.000000,201.66,5360.000000,66.67,13971.24
baseline,22,3,1.320,0.282460,3.800,71.37,4640.000000,224.06,5260.000000,70.67,13845.39
baseline,23,3,1.310,0.287690,2.400,70.78,4640.000000,259.54,5260.000000,70.00,13843.56
baseline,24,3,1.460,0.319810,3.180,70.57,4810.000000,267.94,5890.000000,76.00,14346.82
baseline,25,4,1.460,0.314520,3.710,70.41,3670.000000,256.28,6660.000000,90.55,14399.41
baseline,26,4,1.460,0.314800,2.940,70.20,3660.000000,246.21,6430.000000,87.56,14365.04
baseline,27,4,1.440,0.316090,2.830,69.59,3700.000000,186.14,4340.000000,72.00,14708.43
baseline,28,4,1.590,0.365380,3.250,68.48,3950.000000,263.79,6020.000000,82.18,15567.08
baseline,29,4,1.590,0.358900,3.270,68.48,3940.000000,262.20,5840.000000,78.22,15547.47
baseline,30,4,1.580,0.376330,3.480,69.07,3900.000000,324.40,6680.000000,82.59,15299.04
baseline,31,4,1.580,0.365190,3.200,69.30,3920.000000,234.44,4460.000000,68.50,15576.04
baseline,32,4,1.740,0.448260,3.910,68.13,4050.000000,291.55,4610.000000,67.50,16103.45
baseline,33,5,1.650,0.422940,3.370,68.50,3190.000000,313.39,5760.000000,83.73,15668.34
baseline,34,5,1.660,0.414620,3.610,68.24,3190.000000,310.87,6410.000000,83.27,15622.89
baseline,35,5,1.290,0.486340,3.560,65.60,4640.000000,707.03,6470.000000,65.74,22720.93
baseline,36,5,1.960,0.660560,6.410,68.40,2870.000000,392.72,3790.000000,66.00,14275.40
baseline,37,5,1.310,0.511120,3.610,64.84,4580.000000,768.10,6260.000000,61.81,22676.32
