variant,concurrency,threads,lat_avg_ms,lat_stdev_ms,lat_max_ms,lat_pm_stdev_pct,reqps_thread_avg,reqps_thread_stdev,reqps_thread_max,reqps_thread_pm_stdev_pct,requests_per_sec
baseline,1,1,0.574560,0.046850,0.737000,66.01,1370.000000,20.20,1420.000000,60.78,1364.43
baseline,2,1,0.519390,0.059690,0.758000,68.54,3120.000000,199.16,3440.000000,52.94,3106.44
baseline,3,1,0.523340,0.069690,0.821000,69.39,4620.000000,213.70,5140.000000,58.00,4593.59
baseline,4,1,0.550520,0.079640,0.837000,70.17,5800.000000,250.97,6770.000000,74.51,5770.74
baseline,5,1,0.624010,0.088140,1.060,70.38,6370.000000,327.58,7970.000000,96.08,6340.19
baseline,6,1,0.706330,0.101830,1.160,67.71,6580.000000,341.78,7480.000000,66.67,6548.38
baseline,7,1,0.752810,0.103440,1.240,68.95,7340.000000,175.81,7870.000000,72.00,7302.30
baseline,8,1,0.850,0.117370,1.360,68.97,7300.000000,234.30,8100.000000,84.31,7255.68
baseline,9,2,0.711140,0.147300,1.280,67.55,4650.000000,336.52,5520.000000,80.39,9257.54
baseline,10,2,0.833660,0.164070,1.590,69.69,4950.000000,298.33,5970.000000,70.00,9851.07
baseline,11,2,0.821300,0.170360,2.970,68.63,5030.000000,390.62,6580.000000,77.23,9912.85
baseline,12,2,0.880,0.201880,1.650,66.69,5580.000000,501.81,7230.000000,76.24,11002.93
baseline,13,2,0.880,0.207190,2.030,66.30,5580.000000,525.68,7120.000000,78.00,11097.28
baseline,14,2,1.010,0.220840,1.860,70.27,5680.000000,435.58,7310.000000,82.00,11301.87
baseline,15,2,0.960,0.231110,1.790,67.43,5910.000000,508.95,7500.000000,72.28,11633.65
baseline,16,2,1.100,0.232190,2.210,73.35,6080.000000,314.07,7350.000000,84.00,12091.12
baseline,17,3,1.010,0.216250,1.910,72.27,4260.000000,209.27,4970.000000,72.37,12634.90
baseline,18,3,1.160,0.262310,2.250,70.93,4480.000000,223.08,5290.000000,70.67,13384.53
baseline,19,3,1.170,0.252340,2.220,71.24,4480.000000,218.53,5170.000000,70.00,13360.22
baseline,20,3,1.160,0.250810,2.220,71.63,4440.000000,270.71,5480.000000,71.33,13245.12
baseline,21,3,1.320,0.275060,2.400,71.53,4640.000000,186.15,5040.000000,73.33,13855.34
baseline,22,3,1.310,0.281050,2.720,71.23,4720.000000,235.13,6890.000000,87.42,13903.10
baseline,23,3,1.310,0.281490,2.980,70.93,4630.000000,220.43,5390.000000,69.33,13814.69
baseline,24,3,1.470,0.330780,2.920,70.76,4730.000000,289.79,5660.000000,66.00,14099.90
baseline,25,4,1.460,0.309390,2.900,70.06,3640.000000,146.25,3990.000000,68.00,14488.53
baseline,26,4,1.450,0.315040,2.950,69.76,3660.000000,234.99,5450.000000,83.66,14435.57
baseline,27,4,1.460,0.309680,2.790,70.48,3680.000000,232.82,6480.000000,93.03,14420.13
baseline,28,4,1.580,0.354730,3.220,68.44,3970.000000,196.05,4410.000000,70.00,15808.82
baseline,29,4,1.600,0.360440,3.340,68.87,3940.000000,286.04,7000.000000,85.57,15471.03
baseline,30,4,1.590,0.360930,3.260,68.55,3970.000000,287.66,6810.000000,82.09,15556.94
baseline,31,4,1.600,0.354020,3.180,68.39,3930.000000,179.82,4380.000000,65.50,15629.89
baseline,32,4,1.400,0.505230,3.570,64.62,4950.000000,880.000000,6960.000000,63.86,19497.08
baseline,33,5,1.680,0.410420,3.470,68.57,3150.000000,241.25,3710.000000,67.60,15657.52
baseline,34,5,1.620,0.396680,3.260,68.00,3300.000000,267.48,6220.000000,83.67,16162.27
baseline,35,5,1.350,0.527230,4.750,64.14,4410.000000,816.86,5920.000000,58.57,21621.95
baseline,36,5,1.380,0.539970,4.650,63.47,4350.000000,824.93,7410.000000,62.06,21473.17
baseline,37,5,1.470,0.563430,4.160,62.76,4080.000000,768.89,6000.000000,71.71,19967.23
baseline,38,5,1.310,0.513560,3.980,65.34,4600.000000,880.000000,6970.000000,58.96,22551.53
baseline,39,5,1.330,0.519820,4.580,64.96,4480.000000,786.94,6060.000000,56.13,22134.92
baseline,40,5,1.330,0.573700,4.300,67.82,5060.000000,1010.000000,7910.000000,68.13,24767.52
baseline,41,6,1.210,0.529550,4.130,69.08,4200.000000,920.000000,6410.000000,62.13,24653.09
baseline,42,6,1.800,0.740570,5.080,62.72,3280.000000,792.62,7360.000000,68.44,19254.61
baseline,43,6,1.240,0.554730,4.900,71.25,4710.000000,940.000000,6880.000000,68.98,27823.66
baseline,44,6,1.270,0.572600,5.060,71.98,4660.000000,1010.000000,7890.000000,68.21,27485.85
baseline,45,6,1.250,0.549450,4.700,70.94,4770.000000,950.000000,7440.000000,70.96,28209.79
baseline,46,6,1.220,0.552970,4.450,72.49,4830.000000,1050.000000,8320.000000,70.30,28555.88
baseline,47,6,1.250,0.547040,4.770,71.51,4810.000000,990.000000,8260.000000,68.65,28415.81
baseline,48,6,1.420,0.612160,5.620,70.43,4920.000000,1000.000000,8310.000000,68.65,29059.65
baseline,49,7,1.420,0.599040,5.670,69.65,4290.000000,784.34,7420.000000,75.21,29388.37
baseline,50,7,1.430,0.597960,5.380,70.10,4300.000000,765.27,8040.000000,78.92,29443.32
baseline,51,7,1.390,0.600090,5.590,70.61,4300.000000,786.56,5730.000000,71.07,29838.79
baseline,52,7,1.410,0.616390,5.720,71.57,4220.000000,794.71,7900.000000,74.64,28885.21
baseline,53,7,1.400,0.606940,5.690,70.12,4310.000000,846.44,7800.000000,77.12,29784.52
baseline,54,7,1.400,0.609480,6.120,70.70,4320.000000,870.000000,8940.000000,77.34,29752.10
baseline,55,7,1.410,0.610340,5.170,70.29,4290.000000,832.66,6940.000000,70.90,29615.19
baseline,56,7,1.570,0.660030,5.980,69.29,4420.000000,814.24,8260.000000,74.50,30427.42
baseline,57,8,1.590,0.640150,5.460,68.22,3880.000000,631.14,5800.000000,78.02,30675.78
baseline,58,8,1.630,0.665890,6.570,67.98,3800.000000,691.67,6990.000000,75.80,30046.57
baseline,59,8,1.630,0.668350,5.520,68.60,3820.000000,705.68,7710.000000,80.69,30122.85
baseline,60,8,1.610,0.654850,5.590,68.91,3860.000000,675.85,8740.000000,83.83,30305.32
baseline,61,8,1.620,0.656160,5.630,69.38,3850.000000,675.89,8390.000000,80.55,30147.62
baseline,62,8,1.610,0.648840,6.320,68.29,3860.000000,625.82,5410.000000,78.33,30553.58
baseline,63,8,1.610,0.667130,6.120,69.52,3890.000000,719.79,7950.000000,82.18,30648.81
baseline,64,8,1.840,0.709270,6.210,68.18,3950.000000,634.19,7190.000000,86.88,31112.75
baseline,65,8,1.820,0.713140,6.450,68.67,3950.000000,673.46,7690.000000,87.62,31178.75
baseline,66,8,1.810,0.708560,6.290,68.29,3970.000000,667.48,7910.000000,84.90,31255.34
baseline,67,8,1.820,0.721340,6.410,67.42,3930.000000,681.90,7510.000000,80.65,30951.22
baseline,68,8,1.800,0.712560,6.450,68.02,3950.000000,616.24,6030.000000,73.58,31226.92
baseline,69,8,1.820,0.721760,5.960,67.85,3930.000000,631.34,5710.000000,75.86,31143.24
baseline,70,8,1.790,0.702570,6.450,67.87,3980.000000,643.79,6900.000000,80.20,31382.69
baseline,71,8,1.800,0.709630,6.390,67.79,3960.000000,648.91,7890.000000,81.39,31146.42
baseline,72,8,1.960,0.767950,7.120,68.70,4070.000000,681.19,9190.000000,80.60,31919.52
baseline,73,8,2.000,0.778070,6.460,66.74,4050.000000,685.59,8650.000000,82.84,31768.55
baseline,74,8,2.030,0.754580,7.500,67.80,4020.000000,597.67,7100.000000,83.70,31745.38
baseline,75,8,2.000,0.772690,7.940,67.11,4040.000000,676.80,8360.000000,82.38,31743.15
