variant,concurrency,threads,lat_avg_ms,lat_stdev_ms,lat_max_ms,lat_pm_stdev_pct,reqps_thread_avg,reqps_thread_stdev,reqps_thread_max,reqps_thread_pm_stdev_pct,requests_per_sec
baseline,76,8,2.020,0.760720,6.420,68.11,4040.000000,638.67,7860.000000,83.42,31814.77
baseline,77,8,2.010,0.770910,6.990,68.53,4030.000000,666.35,8020.000000,83.08,31637.06
baseline,78,8,1.980,0.776760,7.040,68.67,4020.000000,663.34,8620.000000,79.30,31494.42
baseline,79,8,1.990,0.773710,6.710,68.63,4040.000000,700.27,8420.000000,81.93,31847.82
baseline,80,8,2.190,0.813250,7.130,67.38,4110.000000,709.20,10560.000000,86.07,32262.28
baseline,81,8,2.210,0.826030,7.070,67.23,4090.000000,645.49,6080.000000,76.12,32097.72
baseline,82,8,2.220,0.910,29.940,76.52,4100.000000,675.36,9530.000000,84.58,32152.98
baseline,83,8,2.220,0.826490,7.450,67.44,4080.000000,670.49,9770.000000,83.08,32001.75
baseline,84,8,2.220,0.815890,7.520,66.86,4090.000000,616.84,6810.000000,80.84,32504.81
baseline,85,8,2.220,0.825920,7.250,66.98,4090.000000,687.48,8210.000000,85.89,32258.75
baseline,86,8,2.190,0.779800,7.600,64.76,4140.000000,583.75,8110.000000,82.67,32658.55
baseline,87,8,2.230,0.812980,7.980,66.41,4100.000000,676.80,8710.000000,87.34,32247.98
baseline,88,8,2.440,0.870,7.610,66.81,4130.000000,638.35,7250.000000,81.53,32715.18
baseline,89,8,2.440,0.880,7.790,67.57,4130.000000,660.14,8930.000000,82.88,32447.14
baseline,90,8,2.420,0.890,9.930,68.99,4140.000000,695.57,8920.000000,86.10,32534.42
baseline,91,8,2.430,0.870,7.590,66.90,4130.000000,637.25,9130.000000,81.30,32299.26
baseline,92,8,2.410,0.870,7.620,67.54,4140.000000,670.22,8910.000000,81.14,32582.45
baseline,93,8,2.420,0.880,7.470,67.82,4140.000000,706.37,10000.000000,80.15,32536.35
baseline,94,8,2.370,0.890,7.340,68.45,4170.000000,793.78,11490.000000,84.58,32672.74
baseline,95,8,2.380,0.890,7.990,66.92,4170.000000,677.05,6720.000000,77.78,32978.35
baseline,96,8,2.660,0.920,8.840,66.39,4140.000000,619.52,9190.000000,82.54,32416.44
baseline,97,8,2.550,0.828930,7.480,62.65,4290.000000,524.47,8090.000000,73.58,33938.41
baseline,98,8,2.630,0.960,8.640,67.49,4160.000000,731.11,9020.000000,86.85,32721.31
baseline,99,8,2.640,0.950,8.050,67.31,4160.000000,693.02,8240.000000,83.62,32698.17
baseline,100,8,2.610,0.910,8.860,66.91,4200.000000,621.71,7830.000000,82.47,33214.19
baseline,101,8,2.650,0.940,8.290,67.53,4150.000000,691.94,10170.000000,85.82,32586.49
baseline,102,8,2.670,0.950,8.260,68.49,4140.000000,689.28,8900.000000,83.37,32525.40
baseline,103,8,2.630,0.930,8.880,66.86,4170.000000,621.62,6800.000000,78.87,33107.11
baseline,104,8,2.860,1.010,8.760,67.45,4180.000000,692.03,9570.000000,81.30,32692.67
baseline,105,8,2.850,1.000,9.010,66.68,4210.000000,774.94,11600.000000,90.55,33010.00
baseline,106,8,2.880,0.970,8.450,66.42,4170.000000,603.06,7620.000000,84.48,33028.23
baseline,107,8,2.880,0.980,8.840,66.71,4180.000000,657.76,10000.000000,85.11,32861.83
baseline,108,8,2.860,0.990,8.290,65.95,4190.000000,655.65,8960.000000,85.61,32934.10
baseline,109,8,2.850,0.990,8.720,67.25,4180.000000,664.17,9240.000000,83.21,33058.30
baseline,110,8,2.840,1.000,9.060,67.31,4190.000000,691.77,9780.000000,84.90,33036.44
baseline,111,8,2.850,1.000,9.060,67.05,4190.000000,655.52,8380.000000,84.44,33141.22
baseline,112,8,3.060,1.020,8.760,67.46,4220.000000,608.67,7020.000000,79.61,33499.61
baseline,113,8,3.050,1.040,9.920,67.34,4220.000000,680.40,8860.000000,80.65,33354.65
baseline,114,8,3.050,1.030,8.520,67.93,4230.000000,631.41,7310.000000,81.64,33363.50
baseline,115,8,3.050,1.020,9.630,67.82,4230.000000,667.45,9870.000000,86.14,33382.47
baseline,116,8,3.080,1.030,9.380,67.21,4210.000000,661.89,8980.000000,83.58,33012.80
baseline,117,8,3.100,1.040,9.640,66.97,4200.000000,661.36,9360.000000,86.57,32969.57
baseline,118,8,3.020,1.040,9.410,68.20,4290.000000,729.80,9880.000000,81.48,33891.99
baseline,119,8,3.100,1.040,9.880,66.41,4200.000000,652.55,7080.000000,79.85,33325.48
baseline,120,8,3.290,1.060,10.050,67.31,4260.000000,644.80,9030.000000,85.86,33640.39
baseline,121,8,3.300,1.060,10.350,66.92,4250.000000,603.63,7390.000000,82.18,33510.36
baseline,122,8,3.250,1.120,34.610,71.98,4300.000000,658.09,8490.000000,80.00,33969.15
baseline,123,8,3.260,1.050,10.710,66.13,4280.000000,655.14,9750.000000,82.67,33729.29
baseline,124,8,3.250,1.130,30.880,71.61,4270.000000,678.77,7530.000000,77.72,33652.44
baseline,125,8,3.270,1.030,9.700,66.15,4270.000000,581.56,6830.000000,78.66,33768.94
baseline,126,8,3.300,1.040,9.880,65.73,4250.000000,568.20,7510.000000,83.25,33689.59
baseline,127,8,3.250,1.050,9.420,66.81,4280.000000,623.35,8170.000000,81.39,33881.00
baseline,128,8,3.510,1.280,34.860,77.73,4290.000000,575.44,7380.000000,82.51,33965.70
